age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42, Private,139126, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
23, Private,53513, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,45, United-States, <=50K
35, Private,168675, HS-grad,9, Separated, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
41, State-gov,363591, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,113703, Some-college,10, Never-married, Sales, Other-relative, White, Male,0,0,20, United-States, <=50K
28, Private,71733, Some-college,10, Separated, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
42, State-gov,83411, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
66, Private,169435, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Male,0,0,16, United-States, <=50K
32, Private,37380, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
39, Private,279272, Assoc-acdm,12, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,60, United-States, <=50K
34, Private,162814, HS-grad,9, Divorced, Protective-serv, Not-in-family, Black, Male,0,0,45, United-States, <=50K
51, Private,133336, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
35, Private,206951, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private,85126, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private,261278, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,5178,0,40, Philippines, >50K
44, Private,332401, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,65, United-States, >50K
32, Private,178835, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private,168827, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
36, Private,209609, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, <=50K
43, Private,160815, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private,274657, 5th-6th,3, Never-married, Other-service, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
39, Private,99146, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, ?, >50K
31, Private,111567, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
27, Private,225142, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
26, Local-gov,337867, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
62, Private,254534, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
69, State-gov,34339, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,244495, 9th,5, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private,291529, 10th,6, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,52, United-States, <=50K
30, Private,169589, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,197457, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,1471,0,38, United-States, <=50K
74, Private,180455, Bachelors,13, Widowed, Other-service, Not-in-family, White, Female,0,0,8, United-States, <=50K
47, Federal-gov,323798, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private,186126, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, ?, <=50K
57, Local-gov,110417, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,99999,0,40, United-States, >50K
35, Private,66297, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
20, Private,137300, Assoc-voc,11, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Self-emp-inc,372525, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
62, Private,272209, HS-grad,9, Divorced, Priv-house-serv, Unmarried, Black, Female,0,0,99, United-States, <=50K
32, Private,131379, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private,46706, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private,229148, 12th,8, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Jamaica, <=50K
25, Federal-gov,406955, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
37, Private,179671, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private,198841, Assoc-voc,11, Divorced, Tech-support, Own-child, White, Male,0,0,35, United-States, <=50K
35, Private,270572, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
31, Private,381153, 10th,6, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
36, State-gov,166697, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Local-gov,304386, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private,132879, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,50, United-States, >50K
38, Private,342448, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
25, Private,118088, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
50, Private,171199, 11th,7, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private,64631, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
27, Private,219371, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
36, Self-emp-not-inc,321274, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
17, Private,240143, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
67, Federal-gov,223257, HS-grad,9, Widowed, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private,283945, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
46, Private,164427, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,45, United-States, <=50K
31, Self-emp-not-inc,340939, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private,225294, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
36, Private,383518, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Black, Female,99999,0,40, United-States, >50K
37, Local-gov,108320, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
38, Self-emp-not-inc,203836, 5th-6th,3, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,164922, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private,229272, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
17, Private,126779, 11th,7, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
58, Private,131608, Some-college,10, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private,232855, Some-college,10, Separated, Other-service, Unmarried, Black, Female,0,0,37, United-States, <=50K
38, Federal-gov,91716, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc,242184, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
24, Private,357028, Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
20, ?,189203, Assoc-acdm,12, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private,234328, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private,264874, HS-grad,9, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private,119359, Prof-school,15, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,15024,0,40, South, >50K
20, Private,145917, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
69, Private,182862, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,15831,0,40, United-States, >50K
61, Self-emp-not-inc,115882, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
21, Private,136610, 12th,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,32, United-States, <=50K
46, Private,169699, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,32709, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
41, Private,198316, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Japan, <=50K
39, Private,185624, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
49, Private,245305, 10th,6, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,42, United-States, >50K
41, Private,193626, HS-grad,9, Married-spouse-absent, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
22, State-gov,157541, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,10, United-States, <=50K
45, Private,242552, Some-college,10, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
20, Private,224059, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, ?,182771, Bachelors,13, Never-married, ?, Own-child, Asian-Pac-Islander, Male,0,0,80, Philippines, <=50K
50, Self-emp-not-inc,32372, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
17, Private,195505, 10th,6, Never-married, Sales, Own-child, White, Male,0,0,5, United-States, <=50K
28, Private,95566, 1st-4th,2, Married-spouse-absent, Other-service, Own-child, Other, Female,0,0,35, Dominican-Republic, <=50K
24, Private,283896, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc,115971, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
65, ?,37170, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States, <=50K
24, Private,291979, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private,684015, 5th-6th,3, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, El-Salvador, <=50K
36, Self-emp-not-inc,28738, Assoc-acdm,12, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
42, Self-emp-not-inc,27242, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
18, Private,177578, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,38, United-States, <=50K
58, State-gov,40925, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Private,263130, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,360799, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
43, Local-gov,180407, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,42, Germany, <=50K
42, ?,240027, HS-grad,9, Divorced, ?, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private,229553, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,20, ?, <=50K
42, Private,280167, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private,275385, Some-college,10, Never-married, Other-service, Other-relative, White, Male,0,0,25, United-States, <=50K
28, Private,331381, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc,58683, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc,289886, HS-grad,9, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
18, Private,118847, 12th,8, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
31, Private,175548, HS-grad,9, Never-married, Other-service, Not-in-family, Other, Female,0,0,35, United-States, <=50K
49, Private,236586, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
43, Private,195258, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc,125417, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
